TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
tauranga city,Greerton/ Papamoa,6,75,1520727.55,2018-12-01,31
tauranga city,Mt Maunganui,8,107,1892707.11,2018-12-01,31
tauranga city,Tauranga Central,21,315,5598902.450000001,2018-12-01,31
thames-coromandel district,Coromandel,4,34,278154.5699999999,2018-12-01,31
thames-coromandel district,Thames,7,82,994600.1299999999,2018-12-01,31
thames-coromandel district,Whangamata,4,63,645798.6900000001,2018-12-01,31
timaru district,Geraldine,3,23,178481.26,2018-12-01,31
timaru district,Temuka,3,39,291846.8799999999,2018-12-01,31
upper hutt city,Heretaunga-Silverstream/ Trentham/ Upper Hutt Central,10,148,2560450,2018-12-01,31
waikato district,Huntly,3,45,758063.96,2018-12-01,31
waikato district,Maramarua/ Rangiriri/ Te Kauwhata,3,36,290339.08999999997,2018-12-01,31
waikato district,Ngaruwahia,3,32,322161.6600000001,2018-12-01,31
waikato district,Raglan/ Taupiri/ Whatawhata,4,54,319256.6500000001,2018-12-01,31
waimakariri district,Rangiora,5,78,969675.4100000003,2018-12-01,31
waimate district,Waimate,3,19,224879.2599999999,2018-12-01,31
waipa district,Cambridge,7,104,948766.0900000003,2018-12-01,31
waipa district,Kihikihi/ Pirongia/ Te Awamutu,8,124,1361669.88,2018-12-01,31
wairoa district,Mahia Beach/ Wairoa,4,58,671147.1400000002,2018-12-01,31
waitaki district,Kurow/ Omarama/ Otematata,7,39,182066.55,2018-12-01,31
waitaki district,Oamaru,5,72,665662.9300000003,2018-12-01,31
whanganui district,Castlecliff/ Gonville/ Wanganui,15,207,2713916.7499999995,2018-12-01,31
wellington city,Crofton Downs/ Hataitai/ Miramar/ Newlands,3,54,848232.4600000001,2018-12-01,31
wellington city,Johnsonville/Tawa South,8,113,2259176.9899999998,2018-12-01,31
wellington city,Wellington Central,16,264,3661350.43,2018-12-01,31
western bay of plenty district,Katikati,4,45,478393.9200000003,2018-12-01,31
western bay of plenty district,Omokoroa/ Pukehina/ Te Puna/ Waihi Beach,4,52,523070.4700000001,2018-12-01,31
western bay of plenty district,Te Puke,3,57,767413.0199999999,2018-12-01,31
westland district,Fox Glacier/ Franz Josef/ Hokitika,6,58,450734.30000000005,2018-12-01,31
whakatane district,Edgecumbe/ Matata/ Te Teko,3,32,342209.5900000001,2018-12-01,31
ashburton district,Ashburton,7,100,1426910,2019-12-01,31
ashburton district,Hinds/ Methven/ Rakaia,5,34,216792.08000000002,2019-12-01,31
auckland,Avondale/ Grey Lynn/ Herne Bay,5,66,848883.3600000001,2019-12-01,31
auckland,Balmoral/ Glen Innes/ Kingsland,4,72,2347586.9,2019-12-01,31
auckland,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,4,42,1326088.7400000002,2019-12-01,31
auckland,Epsom/ Mt Eden/ Parnell,3,36,1604925.09,2019-12-01,31
auckland,Newton,4,58,744574.7400000003,2019-12-01,31
auckland,Onehunga,8,105,1758077.62,2019-12-01,31
auckland,Otahuhu,7,126,3965138.28,2019-12-01,31
auckland,Panmure,3,43,864169.26,2019-12-01,31
auckland,Point Chevalier,5,76,1437118.59,2019-12-01,31
buller district,Cape Foulwind/ Karamea/ Reefton,3,19,138374.55000000002,2019-12-01,31
buller district,Westport,5,53,482762.44999999995,2019-12-01,31
carterton district,Carterton,3,45,505014.54000000015,2019-12-01,31
central hawke's bay district,Ongaonga/ Otane/ Waipawa/Waipukurau,2,29,575939.99,2019-12-01,31
central otago district,Alexandra,3,47,524593.3200000001,2019-12-01,31
central otago district,Cromwell,4,48,410231.5000000001,2019-12-01,31
chatham islands district,Chatham Islands,1,2,22102.43999999998,2019-12-01,31
clutha district,Balclutha,3,34,304831.0400000001,2019-12-01,31
clutha district,Clinton/ Heriot/ Lawrence/ Tapanui,4,15,77057.73,2019-12-01,31
clutha district,Kaitangata/ Milton/ Owaka,4,22,177114.3,2019-12-01,31
dunedin city,Concord/ Kew/ Mornington,3,45,663118.7300000001,2019-12-01,31
dunedin city,Mosgiel,3,49,658041.19,2019-12-01,31
dunedin city,St Kilda,3,40,571733.9,2019-12-01,31
far north district,Hukerenui/Kawakawa/ Moerewa/ Opua/ Russell,4,38,372199.98000000016,2019-12-01,31
far north district,Kaikohe,3,54,1158693.51,2019-12-01,31
far north district,Kaitaia,4,63,1241902.8900000001,2019-12-01,31
far north district,Paihia,4,63,806402.29,2019-12-01,31
gisborne district,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,11,159,2938528.24,2019-12-01,31
gore district,Gore/ Mataura,7,84,946201.73,2019-12-01,31
hamilton city,Claudelands,3,42,687717.2600000001,2019-12-01,31
hamilton city,Dinsdale/ Hillcrest/ Pukete,3,45,774372.1000000002,2019-12-01,31
hamilton city,Frankton,2,36,869116.2,2019-12-01,31
hamilton city,Glenview/ hamilton East,3,34,362742.63,2019-12-01,31
hamilton city,Hamilton Central,13,192,2822914.0500000007,2019-12-01,31
hamilton city,Nawton/ Te Rapa,3,54,1183312.92,2019-12-01,31
hastings district,Clive/ Flaxmere East/ Havelock North,4,64,860051.1200000002,2019-12-01,31
hastings district,Hastings Central,13,212,3742273.1500000004,2019-12-01,31
horowhenua district,Foxton/Mangaore-Manakau/ Shannon,3,34,166958.50000000012,2019-12-01,31
horowhenua district,Levin,7,121,2342031.2699999996,2019-12-01,31
invercargill city,Appleby/ Glengarry/ Strathern,3,54,1206061.83,2019-12-01,31
invercargill city,Bluff/Clifton/ Newfield/ Richmond,5,61,1071404.33,2019-12-01,31
kaipara district,Dargaville,3,32,363218.83000000013,2019-12-01,31
kapiti coast district,Otaki,4,61,513443.5400000002,2019-12-01,31
kapiti coast district,Paekakariki/ Raumati/ Waikanae,3,45,485505.67,2019-12-01,31
kapiti coast district,Paraparaumu,5,85,1398805.88,2019-12-01,31
kawerau district,Kawerau,3,45,678670.5499999999,2019-12-01,31
lower hutt city,Lower Hutt Central,4,54,1016551.5400000003,2019-12-01,31
lower hutt city,Petone,5,93,1824470.5,2019-12-01,31
lower hutt city,Wainuiomata,5,68,884981.9500000002,2019-12-01,31
mackenzie district,Fairlie/ Lake Tekapo/ Twizel,5,34,231252.13999999998,2019-12-01,31
marlborough district,Blenheim,8,138,2259953.92,2019-12-01,31
marlborough district,Havelock/ Renwick/ Seddon/ Spring Creek,3,27,169268.87,2019-12-01,31
marlborough district,Picton,3,36,357206.8300000001,2019-12-01,31
masterton district,Masterton,4,64,1184074.1699999997,2019-12-01,31
matamata-piako district,Matamata,3,54,673592.3400000001,2019-12-01,31
matamata-piako district,Morrinsville,4,49,490949.82000000007,2019-12-01,31
matamata-piako district,Tahuna/ Te Aroha/ Waihou-Walton,5,51,503040.42000000016,2019-12-01,31
napier city,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,8,95,933596.6200000001,2019-12-01,31
napier city,Maraenui/ Onekawa/ Westshore,3,45,716941.04,2019-12-01,31
napier city,Napier City/Marewa,5,90,2106672.17,2019-12-01,31
napier city,Taradale,4,68,1331167.21,2019-12-01,31
nelson city,Nelson Central,7,104,2011078.98,2019-12-01,31
nelson city,Port Nelson/ Stoke/ Tahunanui/ The Wood,2,30,750078.0099999998,2019-12-01,31
new plymouth district,Bell Block/ Fitzroy/ Urenui,4,47,638579.6299999999,2019-12-01,31
new plymouth district,New Plymouth Central,13,196,2883851.2199999993,2019-12-01,31
opotiki district,Opotiki/ Te Kaha,4,57,747475.86,2019-12-01,31
porirua city,Cannon’s Creek/ Titihi Bay/  Waitangirua,3,28,348549.92,2019-12-01,31
queenstown-lakes district,Arrowtown/ Frankton/Queenstown,3,35,575545.3400000001,2019-12-01,31
queenstown-lakes district,Wanaka,4,38,381075,2019-12-01,31
rotorua district,Fenton Park/ Mangakakahi/ Pukehangi,4,50,605567.8900000001,2019-12-01,31
rotorua district,Hillcrest/ Reporoa/ Tihiotonga,3,35,353862.11,2019-12-01,31
rotorua district,Ngongotaha/ Selwyn Heights,3,34,611823.7000000001,2019-12-01,31
rotorua district,Rotorua Central,16,264,4934852.040000001,2019-12-01,31
ruapehu district,Ohakune/ Raetihi/ Waioru,4,44,261764.6,2019-12-01,31
ruapehu district,Taumarunui Central,3,45,444119.76999999996,2019-12-01,31
south taranaki district,Eltham/Kaponga/Manaia/Opunake,5,43,373222.9700000001,2019-12-01,31
south taranaki district,Hawera/Patea/Waverley,5,78,1115885.5899999996,2019-12-01,31
south waikato district,Putaruru/ Tirau,3,36,468431.04000000027,2019-12-01,31
south waikato district,Tokoroa,6,108,1402928.1700000002,2019-12-01,31
southland district,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,4,14,105271.03000000003,2019-12-01,31
southland district,Lumsden/ Manapouri/ Riversdale/ Tutapere,3,13,34778.65000000002,2019-12-01,31
southland district,Te Anau,3,30,211982.97999999998,2019-12-01,31
stratford district,Stratford,2,27,399668.5100000001,2019-12-01,31
tasman district,Brightwater/ Mapua/ Tapawera/ Wakefield,3,21,82290.31999999999,2019-12-01,31
tasman district,Richmond,5,86,1212696.04,2019-12-01,31
tauranga city,Greerton/ Papamoa,7,83,2044263.2399999998,2019-12-01,31
tauranga city,Mt Maunganui,8,89,1953340.07,2019-12-01,31
tauranga city,Tauranga Central,20,297,5659454.290000001,2019-12-01,31
thames-coromandel district,Coromandel,4,34,309990.4,2019-12-01,31
thames-coromandel district,Thames,6,78,1021551.8800000001,2019-12-01,31
thames-coromandel district,Whangamata,4,57,639228.14,2019-12-01,31
timaru district,Geraldine,3,23,170161.09000000003,2019-12-01,31
timaru district,Temuka,3,39,305006.4500000001,2019-12-01,31
upper hutt city,Heretaunga-Silverstream/ Trentham/ Upper Hutt Central,12,166,2727177.3800000004,2019-12-01,31
waikato district,Huntly,4,54,720988.1799999999,2019-12-01,31
waikato district,Maramarua/ Rangiriri/ Te Kauwhata,3,36,266726.31,2019-12-01,31
waikato district,Ngaruwahia,3,32,299189.41999999975,2019-12-01,31
waikato district,Raglan/ Taupiri/ Whatawhata,4,54,376526.53999999986,2019-12-01,31
waimakariri district,Rangiora,5,78,1028802.37,2019-12-01,31
waimate district,Waimate,2,16,186839.30999999988,2019-12-01,31
waipa district,Cambridge,7,104,961915.7,2019-12-01,31
waipa district,Kihikihi/ Pirongia/ Te Awamutu,8,124,1239640.2000000002,2019-12-01,31
wairoa district,Mahia Beach/ Wairoa,4,58,746777.0100000001,2019-12-01,31
waitaki district,Kurow/ Omarama/ Otematata,7,39,154418.74,2019-12-01,31
waitaki district,Oamaru,5,72,709823.5700000002,2019-12-01,31
whanganui district,Castlecliff/ Gonville/ Wanganui,14,208,2827180.95,2019-12-01,31
wellington city,Crofton Downs/ Hataitai/ Miramar/ Newlands,3,54,888765.7700000003,2019-12-01,31
wellington city,Johnsonville/Tawa South,8,113,2231268.4,2019-12-01,31
wellington city,Wellington Central,13,222,3670618.74,2019-12-01,31
western bay of plenty district,Katikati,4,45,425019.88000000024,2019-12-01,31
western bay of plenty district,Omokoroa/ Pukehina/ Te Puna/ Waihi Beach,4,52,479202.60999999975,2019-12-01,31
western bay of plenty district,Te Puke,3,57,734159.8299999998,2019-12-01,31
westland district,Fox Glacier/ Franz Josef/ Hokitika,6,55,450916.76,2019-12-01,31
whakatane district,Edgecumbe/ Matata/ Te Teko,3,32,350180.8600000002,2019-12-01,31
ashburton district,Ashburton,9,125,1167492.1099999999,2012-06-01,31
ashburton district,Hinds/ Methven/ Rakaia,5,34,223193.69,2012-06-01,31
auckland,Newton,7,98,939747.0700000001,2012-06-01,31
auckland,Otahuhu,11,172,2590042.76,2012-06-01,31
auckland,Onehunga,8,106,1621544.84,2012-06-01,31
auckland,Epsom/ Mt Eden/ Parnell,4,43,942535.06,2012-06-01,31
auckland,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,5,46,907305.1399999999,2012-06-01,31
auckland,Point Chevalier,5,76,886169.98,2012-06-01,31
auckland,Balmoral/ Glen Innes/ Kingsland,5,79,1439717.8900000001,2012-06-01,31
auckland,Panmure,7,104,1440454.35,2012-06-01,31
auckland,Avondale/ Grey Lynn/ Herne Bay,7,82,932023.21,2012-06-01,31
buller district,Westport,6,60,510227.17999999993,2012-06-01,31
buller district,Cape Foulwind/ Karamea/ Reefton,4,21,182875.44,2012-06-01,31
carterton district,Carterton,4,50,355496.19999999995,2012-06-01,31
central hawke's bay district,Ongaonga/ Otane/ Waipawa/Waipukurau,6,67,560083.0599999999,2012-06-01,31
central otago district,Alexandra,4,59,409554.1,2012-06-01,31
central otago district,Cromwell,4,52,263497.92,2012-06-01,31
chatham islands district,Chatham Islands,1,2,45734.159999999996,2012-06-01,31
clutha district,Kaitangata/ Milton/ Owaka,4,28,142792.14,2012-06-01,31
clutha district,Clinton/ Heriot/ Lawrence/ Tapanui,4,13,56094.44,2012-06-01,31
clutha district,Balclutha,3,34,291086.45999999996,2012-06-01,31
dunedin city,Concord/ Kew/ Mornington,3,45,437007.1,2012-06-01,31
dunedin city,Mosgiel,5,63,573944.0299999999,2012-06-01,31
dunedin city,St Kilda,4,51,438128.76999999996,2012-06-01,31
far north district,Kaitaia,5,81,930520.1900000001,2012-06-01,31
far north district,Paihia,5,66,723071.63,2012-06-01,31
far north district,Kaikohe,4,56,650507.7100000001,2012-06-01,31
far north district,Hukerenui/Kawakawa/ Moerewa/ Opua/ Russell,5,39,293626.30999999994,2012-06-01,31
gisborne district,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,13,192,2308052.48,2012-06-01,31
gore district,Gore/ Mataura,7,85,748665.24,2012-06-01,31
hamilton city,Claudelands,3,45,589824.98,2012-06-01,31
hamilton city,Frankton,4,57,564619.0900000001,2012-06-01,31
hamilton city,Hamilton Central,15,220,2620476.37,2012-06-01,31
hamilton city,Dinsdale/ Hillcrest/ Pukete,3,45,622701.2,2012-06-01,31
hamilton city,Glenview/ hamilton East,3,41,408116.39,2012-06-01,31
hamilton city,Nawton/ Te Rapa,3,54,933970.4299999999,2012-06-01,31
hastings district,Hastings Central,17,247,3095954.0699999994,2012-06-01,31
hastings district,Clive/ Flaxmere East/ Havelock North,5,82,782786.78,2012-06-01,31
horowhenua district,Levin,8,138,1665906.3200000003,2012-06-01,31
horowhenua district,Foxton/Mangaore-Manakau/ Shannon,5,50,252787.43,2012-06-01,31
invercargill city,Appleby/ Glengarry/ Strathern,4,72,995380.7,2012-06-01,31
invercargill city,Bluff/Clifton/ Newfield/ Richmond,5,62,953574.71,2012-06-01,31
kaipara district,Dargaville,4,37,341012.01000000007,2012-06-01,31
kapiti coast district,Paraparaumu,6,95,1080294.27,2012-06-01,31
kapiti coast district,Otaki,4,61,420475.45,2012-06-01,31
kapiti coast district,Paekakariki/ Raumati/ Waikanae,4,63,672311.44,2012-06-01,31
kawerau district,Kawerau,4,54,582835.98,2012-06-01,31
lower hutt city,Lower Hutt Central,9,139,2012330.05,2012-06-01,31
lower hutt city,Petone,7,126,1750730.3699999999,2012-06-01,31
lower hutt city,Wainuiomata,6,87,826896.9700000001,2012-06-01,31
mackenzie district,Fairlie/ Lake Tekapo/ Twizel,5,41,205106.41,2012-06-01,31
marlborough district,Blenheim,10,163,1761976.73,2012-06-01,31
marlborough district,Picton,5,51,304985.97,2012-06-01,31
marlborough district,Havelock/ Renwick/ Seddon/ Spring Creek,5,46,229192.36000000002,2012-06-01,31
masterton district,Masterton,8,116,1005675.1000000001,2012-06-01,31
matamata-piako district,Matamata,4,62,612022.87,2012-06-01,31
matamata-piako district,Morrinsville,4,52,414641.71,2012-06-01,31
matamata-piako district,Tahuna/ Te Aroha/ Waihou-Walton,6,59,397179.51,2012-06-01,31
napier city,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,7,90,596183.72,2012-06-01,31
napier city,Maraenui/ Onekawa/ Westshore,3,45,632853.1900000001,2012-06-01,31
napier city,Taradale,4,68,985315.39,2012-06-01,31
napier city,Napier City/Marewa,9,153,1928134.47,2012-06-01,31
nelson city,Nelson Central,13,190,1789323.7,2012-06-01,31
nelson city,Port Nelson/ Stoke/ Tahunanui/ The Wood,5,58,597844.36,2012-06-01,31
new plymouth district,New Plymouth Central,17,241,2809608.04,2012-06-01,31
new plymouth district,Bell Block/ Fitzroy/ Urenui,4,50,560223.1000000001,2012-06-01,31
opotiki district,Opotiki/ Te Kaha,5,65,658566.8600000001,2012-06-01,31
porirua city,Cannon’s Creek/ Titihi Bay/  Waitangirua,4,36,495617.2899999999,2012-06-01,31
queenstown-lakes district,Wanaka,4,38,197598.08000000002,2012-06-01,31
queenstown-lakes district,Arrowtown/ Frankton/Queenstown,8,80,437167.75,2012-06-01,31
rotorua district,Rotorua Central,18,288,3929150.55,2012-06-01,31
rotorua district,Fenton Park/ Mangakakahi/ Pukehangi,4,56,479816.93000000005,2012-06-01,31
rotorua district,Ngongotaha/ Selwyn Heights,4,37,336114.14,2012-06-01,31
rotorua district,Hillcrest/ Reporoa/ Tihiotonga,3,35,364313.08,2012-06-01,31
ruapehu district,Taumarunui Central,3,45,404047.49,2012-06-01,31
ruapehu district,Ohakune/ Raetihi/ Waioru,3,42,248790.65999999997,2012-06-01,31
south taranaki district,Hawera/Patea/Waverley,7,88,928551.4299999999,2012-06-01,31
south taranaki district,Eltham/Kaponga/Manaia/Opunake,5,43,305165.81000000006,2012-06-01,31
south waikato district,Tokoroa,8,133,1334230.0299999998,2012-06-01,31
south waikato district,Putaruru/ Tirau,5,56,350374.76,2012-06-01,31
southland district,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,6,21,112300.1,2012-06-01,31
southland district,Lumsden/ Manapouri/ Riversdale/ Tutapere,5,21,77377.63,2012-06-01,31
southland district,Te Anau,3,31,203317.78999999998,2012-06-01,31
stratford district,Stratford,5,49,422003.82,2012-06-01,31
tasman district,Brightwater/ Mapua/ Tapawera/ Wakefield,4,22,124365.95000000001,2012-06-01,31
tasman district,Richmond,5,86,917363.5900000001,2012-06-01,31
tauranga city,Tauranga Central,24,353,4239856.56,2012-06-01,31
tauranga city,Mt Maunganui,11,140,1789015.3599999999,2012-06-01,31
tauranga city,Greerton/ Papamoa,5,66,1047835.39,2012-06-01,31
thames-coromandel district,Coromandel,4,34,264770.08999999997,2012-06-01,31
thames-coromandel district,Thames,7,82,922861.49,2012-06-01,31
thames-coromandel district,Whangamata,4,66,538956.9400000001,2012-06-01,31
timaru district,Geraldine,4,32,258308.09000000003,2012-06-01,31
timaru district,Temuka,4,44,433159.18,2012-06-01,31
upper hutt city,Heretaunga-Silverstream/ Trentham/ Upper Hutt Central,9,139,2180362.59,2012-06-01,31
waikato district,Ngaruwahia,4,50,358497.72,2012-06-01,31
waikato district,Huntly,4,59,561063.97,2012-06-01,31
waikato district,Raglan/ Taupiri/ Whatawhata,4,50,349814.83999999997,2012-06-01,31
waikato district,Maramarua/ Rangiriri/ Te Kauwhata,3,30,259287.74,2012-06-01,31
waimakariri district,Rangiora,6,62,783831.53,2012-06-01,31
waimate district,Waimate,5,34,257594.96000000002,2012-06-01,31
waipa district,Kihikihi/ Pirongia/ Te Awamutu,8,114,1148304.6199999999,2012-06-01,31
waipa district,Cambridge,6,77,879011.4200000002,2012-06-01,31
wairoa district,Mahia Beach/ Wairoa,4,58,601615.34,2012-06-01,31
waitaki district,Oamaru,6,83,808529.41,2012-06-01,31
waitaki district,Kurow/ Omarama/ Otematata,5,26,98492.58000000002,2012-06-01,31
whanganui district,Castlecliff/ Gonville/ Wanganui,19,262,2642081.8200000003,2012-06-01,31
wellington city,Wellington Central,18,296,4049561.230000001,2012-06-01,31
wellington city,Crofton Downs/ Hataitai/ Miramar/ Newlands,4,61,888303.0800000001,2012-06-01,31
wellington city,Johnsonville/Tawa South,7,108,1491211.2100000002,2012-06-01,31
western bay of plenty district,Katikati,4,52,337108.63,2012-06-01,31
western bay of plenty district,Te Puke,6,78,770697.78,2012-06-01,31
western bay of plenty district,Omokoroa/ Pukehina/ Te Puna/ Waihi Beach,5,61,381618.49,2012-06-01,31
westland district,Fox Glacier/ Franz Josef/ Hokitika,7,65,465823.29,2012-06-01,31
whakatane district,Edgecumbe/ Matata/ Te Teko,3,40,307848.29,2012-06-01,31
ashburton district,Ashburton,8,118,1283022.8499999999,2013-06-01,31
ashburton district,Hinds/ Methven/ Rakaia,5,34,207186.27000000002,2013-06-01,31
auckland,Newton,7,98,799690.7899999999,2013-06-01,31
auckland,Otahuhu,11,172,2576672.13,2013-06-01,31
auckland,Onehunga,8,106,1597719.29,2013-06-01,31
auckland,Epsom/ Mt Eden/ Parnell,4,43,1053154.6600000001,2013-06-01,31
auckland,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,5,46,844144.4500000001,2013-06-01,31
auckland,Point Chevalier,5,76,841900.5599999999,2013-06-01,31
auckland,Balmoral/ Glen Innes/ Kingsland,5,79,1652254.7700000003,2013-06-01,31
auckland,Panmure,5,76,1157187.1,2013-06-01,31
auckland,Avondale/ Grey Lynn/ Herne Bay,7,82,960202.1599999999,2013-06-01,31
buller district,Westport,6,62,509240.39999999997,2013-06-01,31
buller district,Cape Foulwind/ Karamea/ Reefton,4,22,177062.96000000002,2013-06-01,31
carterton district,Carterton,4,50,320352.38,2013-06-01,31
central hawke's bay district,Ongaonga/ Otane/ Waipawa/Waipukurau,5,49,473156.88,2013-06-01,31
central otago district,Alexandra,4,59,391299.98,2013-06-01,31
central otago district,Cromwell,4,52,280773.43000000005,2013-06-01,31
chatham islands district,Chatham Islands,1,2,45074.58,2013-06-01,31
clutha district,Kaitangata/ Milton/ Owaka,4,28,134953.41999999998,2013-06-01,31
clutha district,Clinton/ Heriot/ Lawrence/ Tapanui,4,13,67318.44,2013-06-01,31
clutha district,Balclutha,3,34,300936.88,2013-06-01,31
dunedin city,Concord/ Kew/ Mornington,3,45,509305.68,2013-06-01,31
dunedin city,Mosgiel,5,64,581409.2,2013-06-01,31
dunedin city,St Kilda,4,51,459761.67,2013-06-01,31
far north district,Kaitaia,4,63,825512.3899999999,2013-06-01,31
far north district,Paihia,5,69,728244.6099999999,2013-06-01,31
far north district,Kaikohe,6,92,1108075.44,2013-06-01,31
far north district,Hukerenui/Kawakawa/ Moerewa/ Opua/ Russell,5,39,340785.81,2013-06-01,31
gisborne district,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,14,210,2425369.87,2013-06-01,31
gore district,Gore/ Mataura,7,85,804922.5399999998,2013-06-01,31
hamilton city,Claudelands,3,45,601177.56,2013-06-01,31
hamilton city,Frankton,4,57,612123.22,2013-06-01,31
hamilton city,Hamilton Central,15,220,2587511.6299999994,2013-06-01,31
hamilton city,Dinsdale/ Hillcrest/ Pukete,3,45,663326.6,2013-06-01,31
hamilton city,Glenview/ hamilton East,3,39,388913.82,2013-06-01,31
hamilton city,Nawton/ Te Rapa,3,54,989434.46,2013-06-01,31
hastings district,Hastings Central,17,247,3018262.79,2013-06-01,31
hastings district,Clive/ Flaxmere East/ Havelock North,5,82,904038.96,2013-06-01,31
horowhenua district,Levin,7,120,1645921.65,2013-06-01,31
horowhenua district,Foxton/Mangaore-Manakau/ Shannon,5,50,290818.2,2013-06-01,31
invercargill city,Appleby/ Glengarry/ Strathern,4,72,1004833.86,2013-06-01,31
invercargill city,Bluff/Clifton/ Newfield/ Richmond,5,62,823857.9100000001,2013-06-01,31
kaipara district,Dargaville,4,37,315579.91000000003,2013-06-01,31
kapiti coast district,Paraparaumu,6,95,1128419.63,2013-06-01,31
kapiti coast district,Otaki,4,61,511592.31,2013-06-01,31
kapiti coast district,Paekakariki/ Raumati/ Waikanae,4,63,708682.4299999999,2013-06-01,31
kawerau district,Kawerau,4,54,497263.55000000005,2013-06-01,31
lower hutt city,Lower Hutt Central,10,148,1882635.3000000003,2013-06-01,31
lower hutt city,Petone,7,126,1769804.2300000002,2013-06-01,31
lower hutt city,Wainuiomata,6,86,841684.7199999999,2013-06-01,31
mackenzie district,Fairlie/ Lake Tekapo/ Twizel,5,41,185920.16999999998,2013-06-01,31
marlborough district,Blenheim,10,163,1799964.5100000002,2013-06-01,31
marlborough district,Picton,5,47,289883.26999999996,2013-06-01,31
marlborough district,Havelock/ Renwick/ Seddon/ Spring Creek,5,46,205188.86000000002,2013-06-01,31
masterton district,Masterton,7,107,1003343.16,2013-06-01,31
matamata-piako district,Matamata,4,62,560621.25,2013-06-01,31
matamata-piako district,Morrinsville,4,52,403538.57,2013-06-01,31
matamata-piako district,Tahuna/ Te Aroha/ Waihou-Walton,6,59,413432.47000000003,2013-06-01,31
napier city,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,7,90,585095.62,2013-06-01,31
napier city,Maraenui/ Onekawa/ Westshore,3,45,611085.42,2013-06-01,31
napier city,Taradale,4,68,1005489.38,2013-06-01,31
napier city,Napier City/Marewa,9,135,1702575.9500000002,2013-06-01,31
nelson city,Nelson Central,14,199,1924596.15,2013-06-01,31
nelson city,Port Nelson/ Stoke/ Tahunanui/ The Wood,5,58,560777.7,2013-06-01,31
new plymouth district,New Plymouth Central,17,236,2659729.52,2013-06-01,31
new plymouth district,Bell Block/ Fitzroy/ Urenui,4,50,543866.62,2013-06-01,31
opotiki district,Opotiki/ Te Kaha,5,69,663841.1400000001,2013-06-01,31
porirua city,Cannon’s Creek/ Titihi Bay/  Waitangirua,4,36,378128.93,2013-06-01,31
queenstown-lakes district,Wanaka,4,37,236629.80000000002,2013-06-01,31
queenstown-lakes district,Arrowtown/ Frankton/Queenstown,8,79,425713.66000000003,2013-06-01,31
rotorua district,Rotorua Central,18,288,3962250.0099999993,2013-06-01,31
rotorua district,Fenton Park/ Mangakakahi/ Pukehangi,4,56,561025.17,2013-06-01,31
rotorua district,Ngongotaha/ Selwyn Heights,4,37,359356.07999999996,2013-06-01,31
rotorua district,Hillcrest/ Reporoa/ Tihiotonga,3,35,347142.81,2013-06-01,31
ruapehu district,Taumarunui Central,3,45,412512.7599999999,2013-06-01,31
ruapehu district,Ohakune/ Raetihi/ Waioru,3,42,234166.2,2013-06-01,31
south taranaki district,Hawera/Patea/Waverley,7,88,944893.4999999999,2013-06-01,31
south taranaki district,Eltham/Kaponga/Manaia/Opunake,5,43,306237.13,2013-06-01,31
south waikato district,Tokoroa,8,133,1311704.83,2013-06-01,31
south waikato district,Putaruru/ Tirau,4,45,366558.85000000003,2013-06-01,31
southland district,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,6,21,121041.34,2013-06-01,31
southland district,Lumsden/ Manapouri/ Riversdale/ Tutapere,5,21,70499.66,2013-06-01,31
southland district,Te Anau,3,31,180316.5,2013-06-01,31
stratford district,Stratford,5,49,349802.81,2013-06-01,31
tasman district,Brightwater/ Mapua/ Tapawera/ Wakefield,4,22,108188.81999999999,2013-06-01,31
tasman district,Richmond,5,86,987618.71,2013-06-01,31
tauranga city,Tauranga Central,23,337,4121485,2013-06-01,31
tauranga city,Mt Maunganui,10,135,1746932.5499999998,2013-06-01,31
tauranga city,Greerton/ Papamoa,4,54,1036069.8800000001,2013-06-01,31
thames-coromandel district,Coromandel,4,34,204329.88,2013-06-01,31
thames-coromandel district,Thames,7,82,939176.78,2013-06-01,31
thames-coromandel district,Whangamata,4,66,449523.26,2013-06-01,31
timaru district,Geraldine,4,32,231278.49000000002,2013-06-01,31
timaru district,Temuka,5,51,370782.61,2013-06-01,31
upper hutt city,Heretaunga-Silverstream/ Trentham/ Upper Hutt Central,10,148,2244144.3,2013-06-01,31
waikato district,Ngaruwahia,4,50,380433.04000000004,2013-06-01,31
waikato district,Huntly,4,59,572824.19,2013-06-01,31
waikato district,Raglan/ Taupiri/ Whatawhata,4,50,307511.26,2013-06-01,31
