SOCIETY_NAME,VENUE_NAME,VENUE_PHYSICAL_ADDRESS,TERRITORIAL_AUTHORITY,COUNT_OF_EGM
One Foundation Limited,WOOLSHED TAVERN,"3820 BROADLANDS ROAD
REPOROA
ROTORUA DISTRICT 3292",ROTORUA DISTRICT,5
New Zealand Community Trust,PREBBLETON HOTEL,"SPRINGS ROAD
PREBBLETON
CHRISTCHURCH 7604",SELWYN DISTRICT,5
PUB CHARITY LIMITED,MESSINES BAR & RESTAURANT,"57 FOX STREET
FEATHERSTON
SOUTH WAIRARAPA 5952",SOUTH WAIRARAPA DISTRICT,5
PUB CHARITY LIMITED,WAIAU HOTEL (TUATAPERE),"47-49 MAIN STREET
TUATAPERE
SOUTHLAND 9655",SOUTHLAND DISTRICT,5
THE TRUSTS COMMUNITY FOUNDATION LIMITED,THREE RIVERS HOTEL,"17 REDAN STREET
WYNDHAM
SOUTHLAND 9690",SOUTHLAND DISTRICT,5
PUB CHARITY LIMITED,PLEASANT POINT HOTEL,"95 MAIN ROAD
PLEASANT POINT
CANTERBURY 8772",TIMARU DISTRICT,5
NGARUAWAHIA GOLF CLUB INCORPORATED,NGARUAWAHIA GOLF CLUB,"GREAT SOUTH ROAD
NGARUAWAHIA
WAIKATO 3720",WAIKATO DISTRICT,5
THE SOUTHERN TRUST,WAITAKI HOTEL,"37 BLEDISLOE STREET
KUROW
NORTH OTAGO 9435",WAITAKI DISTRICT,5
TAWA R S A INC,TAWA RSA,"89 OXFORD STREET
TAWA SOUTH
WELLINGTON 6006",WELLINGTON CITY,5
THE SOUTHERN TRUST,MATATA HOTEL,"47 ARAWA STREET
MATATA
WHAKATANE 3084",WHAKATANE DISTRICT,5
POINT CHEVALIER BOWLING CLUB INC,POINT CHEVALIER BOWLING CLUB,"25 DIGNAN STREET
POINT CHEVALIER
AUCKLAND 1022",Auckland Council - Albert - Eden,4
Onehunga and Districts Bowling Club Inc,Onehunga and Districts Bowling Club,"58 Princess Street
ONEHUNGA
AUCKLAND 1062
NEW ZEALAND",Auckland Council - Maungakiekie - Tamaki,4
