DISTRICT,AREA_CLUSTER_OF_AREAS,VENUE_NAME,VENUE_NUMBER,DATE,INDEX
AUCKLAND CITY,Onehunga,TRIDENT TAVERN,289,2013-09-01,8
AUCKLAND CITY,Royal Oak,AUCKLAND CONFEDERATION OF BILLIARD SPORTS INC,71,2013-09-01,8
AUCKLAND CITY,Royal Oak,FINNEGANS IRISH BAR,1214,2013-09-01,8
AUCKLAND CITY,Royal Oak,ROUNDABOUT BAR & BRASSERIE,1319,2013-09-01,8
AUCKLAND CITY,Royal Oak,THE PALACE,1791,2013-09-01,8
AUCKLAND CITY,Epsom/ Mt Eden/ Parnell,BAR FIFA,253,2013-09-01,8
AUCKLAND CITY,Epsom/ Mt Eden/ Parnell,OSCAR'S BAR,758,2013-09-01,8
AUCKLAND CITY,Epsom/ Mt Eden/ Parnell,PARNELL RETURNED SERVICES CLUB,698,2013-09-01,8
AUCKLAND CITY,Epsom/ Mt Eden/ Parnell,THE AUCKLAND TROTTING CLUB,179,2013-09-01,8
AUCKLAND CITY,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,BLOCKHOUSE BAY BOWLING CLUB,731,2013-09-01,8
AUCKLAND CITY,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,MOUNT ALBERT BOWLING CLUB INCORPORATED,662,2013-09-01,8
AUCKLAND CITY,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,RICHARDSON'S TAVERN,903,2013-09-01,8
AUCKLAND CITY,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,JAYA BAR & CAFE,809,2013-09-01,8
AUCKLAND CITY,Ponsonby,CAVALIER TAVERN,1842,2013-09-01,8
AUCKLAND CITY,Ponsonby,CROSSROADS,921,2013-09-01,8
AUCKLAND CITY,Ponsonby,PONSONBY BOWLING CLUB,403,2013-09-01,8
AUCKLAND CITY,Ellerslie/ Greenlane,CHASKA PUNJAB DA,505,2013-09-01,8
AUCKLAND CITY,Ellerslie/ Greenlane,COCK AND BULL,1105,2013-09-01,8
AUCKLAND CITY,Ellerslie/ Greenlane,ELLERSLIE BOWLING CLUB INCORPORATED,476,2013-09-01,8
AUCKLAND CITY,Ellerslie/ Greenlane,THE ABBEY,812,2013-09-01,8
AUCKLAND CITY,Glendowie/ Orakei,CHURCHILL CLUB OF GLENDOWIE,194,2013-09-01,8
AUCKLAND CITY,Glendowie/ Orakei,OKAHU BAY BOWLING CLUB INC,12,2013-09-01,8
AUCKLAND CITY,Glendowie/ Orakei,THE BANQUE,1355,2013-09-01,8
AUCKLAND CITY,Glendowie/ Orakei,THE ORAKEI RETURNED SERVICES ASSOCIATION INCORPORATED,448,2013-09-01,8
AUCKLAND CITY,Mission Bay/ Remuera,COMMERCE CLUB OF AUCKLAND INCORPORATED,496,2013-09-01,8
AUCKLAND CITY,Mission Bay/ Remuera,KILALA RESTAURANT,1186,2013-09-01,8
AUCKLAND CITY,Mission Bay/ Remuera,1 UP SPORTS BAR,500,2013-09-01,8
AUCKLAND CITY,Newmarket,DELI'S SPORTSBAR & CAROL'S TAB,908,2013-09-01,8
AUCKLAND CITY,Newmarket,MUSTANG SALOON & GRILL,1994,2013-09-01,8
AUCKLAND CITY,Newmarket,OSBORNE STREET,242,2013-09-01,8
AUCKLAND CITY,Eden Terrace/ Grafton/ Penrose,DOT'S,564,2013-09-01,8
AUCKLAND CITY,Eden Terrace/ Grafton/ Penrose,EDINBURGH CASTLE,1809,2013-09-01,8
AUCKLAND CITY,Eden Terrace/ Grafton/ Penrose,STRAND TAVERN,1808,2013-09-01,8
AUCKLAND CITY,Mt Roskill/ Sandringham/ Three Kings,EDENDALE CLUB,707,2013-09-01,8
AUCKLAND CITY,Mt Roskill/ Sandringham/ Three Kings,HILLSBORO BOWLING CLUB INCORPORATED,158,2013-09-01,8
AUCKLAND CITY,Mt Roskill/ Sandringham/ Three Kings,MAUNGAKIEKIE GOLF CLUB,462,2013-09-01,8
AUCKLAND CITY,Mt Roskill/ Sandringham/ Three Kings,SANDRINGHAM BOWLING CLUB,661,2013-09-01,8
AUCKLAND CITY,Mt Roskill/ Sandringham/ Three Kings,THE THIRSTY WHALE,810,2013-09-01,8
AUCKLAND CITY,Point Chevalier,HARLEQUINS,581,2013-09-01,8
AUCKLAND CITY,Point Chevalier,JOKERS PT CHEVALIER,854,2013-09-01,8
AUCKLAND CITY,Point Chevalier,POINT CHEVALIER BOWLING CLUB,1387,2013-09-01,8
AUCKLAND CITY,Point Chevalier,THE CROWN HOTEL,575,2013-09-01,8
AUCKLAND CITY,Point Chevalier,THE POINT CHEVALIER MEMORIAL RSA INCORPORATED,1137,2013-09-01,8
AUCKLAND CITY,Balmoral/ Glen Innes/ Kingsland,JACKS,1391,2013-09-01,8
AUCKLAND CITY,Balmoral/ Glen Innes/ Kingsland,SPORTS BAR KINGSLAND,1800,2013-09-01,8
AUCKLAND CITY,Balmoral/ Glen Innes/ Kingsland,TAB GLEN INNES,902,2013-09-01,8
AUCKLAND CITY,Balmoral/ Glen Innes/ Kingsland,THE BALMORAL BOWLING CLUB INCORPORATED,478,2013-09-01,8
AUCKLAND CITY,Balmoral/ Glen Innes/ Kingsland,THE COURTYARD BAR,1847,2013-09-01,8
AUCKLAND CITY,Panmure,LANDMARK BAR & EATERY,345,2013-09-01,8
AUCKLAND CITY,Panmure,MISS Q'S PANMURE,1347,2013-09-01,8
AUCKLAND CITY,Panmure,MT WELLINGTON BOWLING CLUB,539,2013-09-01,8
AUCKLAND CITY,Panmure,MT WELLINGTON-PANMURE RETURNED SERVICES ASSOCIATION INCORPORATED,111,2013-09-01,8
AUCKLAND CITY,Panmure,PANMURE SUPERBOWL,1978,2013-09-01,8
AUCKLAND CITY,Panmure,TAINUI TAVERN,1816,2013-09-01,8
AUCKLAND CITY,Panmure,THE CORNER BAR,344,2013-09-01,8
AUCKLAND CITY,Ostend/ Surfdale (Waiheke),ON THE ROCKS,1117,2013-09-01,8
AUCKLAND CITY,Ostend/ Surfdale (Waiheke),WAIHEKE BOWLING CLUB INC,245,2013-09-01,8
AUCKLAND CITY,Ostend/ Surfdale (Waiheke),WAIHEKE RSA CLUB,117,2013-09-01,8
AUCKLAND CITY,Avondale/ Grey Lynn/ Herne Bay,AVONDALE BOWLING CLUB,495,2013-09-01,8
AUCKLAND CITY,Avondale/ Grey Lynn/ Herne Bay,AVONDALE RETURNED SERVICES ASSOCIATION,362,2013-09-01,8
AUCKLAND CITY,Avondale/ Grey Lynn/ Herne Bay,GREY LYNN RETURNED SERVICES SOCIAL CLUB INCORPORATED,399,2013-09-01,8
AUCKLAND CITY,Avondale/ Grey Lynn/ Herne Bay,GREY LYNN TAVERN,795,2013-09-01,8
AUCKLAND CITY,Avondale/ Grey Lynn/ Herne Bay,NEW ZEALAND ALL GOLDS ASSOCIATION,85,2013-09-01,8
AUCKLAND CITY,Avondale/ Grey Lynn/ Herne Bay,SPIDERS BAR,904,2013-09-01,8
BULLER DISTRICT,Westport,BLACK AND WHITE HOTEL,1628,2013-09-01,8
BULLER DISTRICT,Westport,CLUB BULLER,359,2013-09-01,8
BULLER DISTRICT,Westport,COSMOPOLITAN HOTEL,270,2013-09-01,8
BULLER DISTRICT,Westport,CRITERION HOTEL (WESTPORT),10,2013-09-01,8
BULLER DISTRICT,Westport,MCMANUS HOTEL,1897,2013-09-01,8
BULLER DISTRICT,Westport,MELBOURNE HOTEL,1498,2013-09-01,8
BULLER DISTRICT,Cape Foulwind/ Karamea/ Reefton,HOTEL REEFTON,1369,2013-09-01,8
BULLER DISTRICT,Cape Foulwind/ Karamea/ Reefton,KARAMEA VILLAGE HOTEL,1634,2013-09-01,8
BULLER DISTRICT,Cape Foulwind/ Karamea/ Reefton,REEFTON AUTOLODGE,1199,2013-09-01,8
BULLER DISTRICT,Cape Foulwind/ Karamea/ Reefton,STAR TAVERN,1596,2013-09-01,8
CARTERTON DISTRICT,Carterton,MARQUIS OF NORMANBY,1674,2013-09-01,8
CARTERTON DISTRICT,Carterton,ROYAL OAK HOTEL,286,2013-09-01,8
CARTERTON DISTRICT,Carterton,THE PUBLISHER SPORTS BAR,2000173,2013-09-01,8
CARTERTON DISTRICT,Carterton,CARTERTON MEMORIAL CLUB,753,2013-09-01,8
CENTRAL HAWKE'S BAY DISTRICT,Ongaonga/ Otane/ Waipawa/Waipukurau,COMMERCIAL HOTEL (WAIPAWA),1555,2013-09-01,8
CENTRAL HAWKE'S BAY DISTRICT,Ongaonga/ Otane/ Waipawa/Waipukurau,LEOPARD HOTEL,1906,2013-09-01,8
CENTRAL HAWKE'S BAY DISTRICT,Ongaonga/ Otane/ Waipawa/Waipukurau,SANDFORD ARMS TAVERN,1320,2013-09-01,8
CENTRAL HAWKE'S BAY DISTRICT,Ongaonga/ Otane/ Waipawa/Waipukurau,TAVISTOCK HOTEL,1282,2013-09-01,8
CENTRAL HAWKE'S BAY DISTRICT,Ongaonga/ Otane/ Waipawa/Waipukurau,THE FARRIERS ARMS,1662,2013-09-01,8
CENTRAL HAWKE'S BAY DISTRICT,Ongaonga/ Otane/ Waipawa/Waipukurau,WAIPUKURAU AND DISTRICT RSA,445,2013-09-01,8
CENTRAL HAWKE'S BAY DISTRICT,Ongaonga/ Otane/ Waipawa/Waipukurau,WAIPUKURAU CLUB,648,2013-09-01,8
CENTRAL OTAGO DISTRICT,Alexandra,ALEXANDRA DISTRICT CLUB,68,2013-09-01,8
CENTRAL OTAGO DISTRICT,Alexandra,CRITERION CLUB HOTEL,1650,2013-09-01,8
CENTRAL OTAGO DISTRICT,Alexandra,FAT BADGER,1330,2013-09-01,8
CENTRAL OTAGO DISTRICT,Alexandra,STADIUM TAVERN,953,2013-09-01,8
CENTRAL OTAGO DISTRICT,Clyde/ Millers Flat/ Omakau/ Ophir/ Ranfurly,BLACKS HOTEL,1308,2013-09-01,8
CENTRAL OTAGO DISTRICT,Clyde/ Millers Flat/ Omakau/ Ophir/ Ranfurly,DUNSTAN HOTEL,1507,2013-09-01,8
CENTRAL OTAGO DISTRICT,Clyde/ Millers Flat/ Omakau/ Ophir/ Ranfurly,OMAKAU COMMERCIAL HOTEL,145,2013-09-01,8
CENTRAL OTAGO DISTRICT,Clyde/ Millers Flat/ Omakau/ Ophir/ Ranfurly,RANFURLY LION HOTEL,1731,2013-09-01,8
CENTRAL OTAGO DISTRICT,Clyde/ Millers Flat/ Omakau/ Ophir/ Ranfurly,THE BRIDGE TAVERN,1140,2013-09-01,8
CENTRAL OTAGO DISTRICT,Cromwell,CROMWELL BREW HOUSE,1420,2013-09-01,8
CENTRAL OTAGO DISTRICT,Cromwell,CROMWELL TOWN & COUNTRY CLUB,112,2013-09-01,8
CENTRAL OTAGO DISTRICT,Cromwell,GOLDEN GATE HOTEL,949,2013-09-01,8
CENTRAL OTAGO DISTRICT,Cromwell,VICTORIA ARMS HOTEL,1715,2013-09-01,8
CENTRAL OTAGO DISTRICT,Roxburgh,ETTRICK TAVERN,1000,2013-09-01,8
CENTRAL OTAGO DISTRICT,Roxburgh,GOLDFIELDS HOTEL,1686,2013-09-01,8
CENTRAL OTAGO DISTRICT,Roxburgh,GRAND TAVERN,1070,2013-09-01,8
CHATHAM ISLANDS DISTRICT,Chatham Islands,HOTEL CHATHAMS,33,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Ferrymead/ Heathcote Valley/ Sumner,ALOHA,1878,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Ferrymead/ Heathcote Valley/ Sumner,HISTORIC VALLEY INN,1505,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Ferrymead/ Heathcote Valley/ Sumner,THE MARINE BAR & BACKPACKERS,939,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Avonhead/ Sockburn/ Upper Riccarton,AVONHEAD TAVERN,582,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Avonhead/ Sockburn/ Upper Riccarton,BUSH INN TAVERN LIMITED,1925,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Avonhead/ Sockburn/ Upper Riccarton,MERRINS,1702,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Avonhead/ Sockburn/ Upper Riccarton,RACECOURSE HOTEL,328,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,BAILIES BAR,1822,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,CITY CLUB,1076,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,COMMERCE CLUB,134,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,EDGEWARE BLUES LOUNGE,1312,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,EXCELSIOR SPORTS BAR,1755,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,FITZGERALD ARMS,595,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,HOLY GRAIL SPORTS BAR,357,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,ICONIC,846,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,NEW CITY HOTEL,1855,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,OXFORD TAVERN,329,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,THE BUCKS HEAD,980,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,THE ROCKPOOL,579,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,THE STOCK X CHANGE BAR & CAFE,978,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,THE VIC AND WHALE,326,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,New Brighton,BAR 25,1746,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,New Brighton,BOWER TAVERN,1735,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,New Brighton,COOPS PLACE,806,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,New Brighton,NEW BRIGHTON RSA,449,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,New Brighton,NEW BRIGHTON WORKINGMENS CLUB,689,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,New Brighton,THE BACH,844,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,New Brighton,THE WAVE,642,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,PARKHOUSE TAVERN,1739,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,RENDEZVOUS ON BARRINGTON,1232,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,THE CELTIC ARMS INN,845,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,THE CORNER BAR,1357,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,WHEATSHEAF TAVERN,1527,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Beckenham/ Cashmere/ Hilsborough/ Huntsbury/ Opawa,BECKS SOUTHERN ALE HOUSE,1751,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Beckenham/ Cashmere/ Hilsborough/ Huntsbury/ Opawa,CASHMERE CLUB,81,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Beckenham/ Cashmere/ Hilsborough/ Huntsbury/ Opawa,CIBURB BAR,1950,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Beckenham/ Cashmere/ Hilsborough/ Huntsbury/ Opawa,THE BRICKWORKS,1541,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Addington/ Middleton/ Waltham,BEDROCK BAR,1526,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Addington/ Middleton/ Waltham,BLACK HORSE,1749,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Addington/ Middleton/ Waltham,LANCASTER PARK HOTEL,637,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Addington/ Middleton/ Waltham,MILLER BAR & CAFE,1019,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Belfast/ Kainga,ROBBIES BAR & BISTRO BELFAST,1744,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Belfast/ Kainga,WAIMAKARIRI RESTAURANT TAVERN,1030,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Belfast/ Kainga,THE PEG,1911,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Aranui/ Bromley/ Richmond/ Wainoni,BICKERTONS BAR,1754,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Aranui/ Bromley/ Richmond/ Wainoni,CARDRONA ON AVON,1299,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Aranui/ Bromley/ Richmond/ Wainoni,GLENBYRE TAVERN,1038,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Aranui/ Bromley/ Richmond/ Wainoni,RICHMOND WMC & MSA,1182,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Aranui/ Bromley/ Richmond/ Wainoni,THREE THIRTY ONE,1752,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Halswell,BILL'S BAR & BISTRO,797,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Halswell,HALSWELL TAVERN,1850,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Halswell,THE QUARRY BAR & BISTRO,1544,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Riccarton,BLENHEIM ROAD TAVERN,330,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Riccarton,RICCARTON CLUB,360,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Riccarton,ROBBIES RICCARTON,369,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Riccarton,THE CRAIC,570,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Riccarton,TREVINOS RESTAURANT & BAR,983,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Riccarton,WILSONS SPORTS BAR,1257,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Harewood/ Merivale/ Redwood,CARLTON BAR & RESTAURANT,1277,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Harewood/ Merivale/ Redwood,COASTER'S TAVERN,1260,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Harewood/ Merivale/ Redwood,HIGHWAY INN,1554,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Harewood/ Merivale/ Redwood,PAPANUI CLUB,238,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Harewood/ Merivale/ Redwood,REDWOOD HOTEL,982,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Harewood/ Merivale/ Redwood,ROBBIES ELMWOOD,1013,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,North New Brighton/ Parklands/ Waimari Beach,CHATS,1296,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,North New Brighton/ Parklands/ Waimari Beach,ENDEAVOUR TAVERN,1362,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,North New Brighton/ Parklands/ Waimari Beach,PARKLANDS RESTAURANT & BAR,331,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,North New Brighton/ Parklands/ Waimari Beach,ROBBIES QUEENSPARK,1736,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Sydenham,CHURCHILLS CLUB TAVERN,335,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Sydenham,ROB ROYS PUBLIC HOUSE,1935,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Sydenham,SANDRIDGE HOTEL,1757,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Sydenham,SYDENHAM BOWLING CLUB,232,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Sydenham,THE BROUGHAM TAVERN,927,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Akaroa/ Duvachelle,DUVAUCHELLE HOTEL,1629,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Akaroa/ Duvachelle,MADEIRA HOTEL,1269,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Akaroa/ Duvachelle,THE GRAND HOTEL (AKAROA),1469,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,St Albans,EDGEWARE SPORTS BAR,1727,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,St Albans,ROBBIES BAR & BISTRO CRANFORD,1743,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,St Albans,SCHROEDER'S TAVERN,584,2013-09-01,8
