DISTRICT,AREA_CLUSTER_OF_AREAS,VENUE_NAME,VENUE_NUMBER,DATE,INDEX
ASHBURTON DISTRICT,Ashburton,ASHBURTON CLUB & MUTUAL SCHOOL OF ARTS INC,378,2013-09-01,8
ASHBURTON DISTRICT,Ashburton,ASHBURTON RSA,1180,2013-09-01,8
ASHBURTON DISTRICT,Ashburton,DEVON TAVERN,704,2013-09-01,8
ASHBURTON DISTRICT,Ashburton,HOTEL ASHBURTON,710,2013-09-01,8
ASHBURTON DISTRICT,Ashburton,MILLIES,2000073,2013-09-01,8
ASHBURTON DISTRICT,Ashburton,ROBBIES BAR & BISTRO ASHBURTON,2000182,2013-09-01,8
ASHBURTON DISTRICT,Ashburton,SOMERSET TAVERN,702,2013-09-01,8
ASHBURTON DISTRICT,Ashburton,TINWALD TAVERN,711,2013-09-01,8
Average GMP per venue for quarter to September 2010,Hinds/ Methven/ Rakaia,BLUE PUB,1136,2013-09-01,8
Average GMP per venue for quarter to September 2010,Hinds/ Methven/ Rakaia,CANTERBURY HOTEL,966,2013-09-01,8
Average GMP per venue for quarter to September 2010,Hinds/ Methven/ Rakaia,HINDS TAVERN,701,2013-09-01,8
Average GMP per venue for quarter to September 2010,Hinds/ Methven/ Rakaia,RAILWAY TAVERN,1528,2013-09-01,8
Average GMP per venue for quarter to September 2010,Hinds/ Methven/ Rakaia,SOUTH RAKAIA HOTEL,1696,2013-09-01,8
AUCKLAND CITY,Newton,24 SEVEN,1788,2013-09-01,8
AUCKLAND CITY,Newton,CHARLIES BAR,1406,2013-09-01,8
AUCKLAND CITY,Newton,FAMILY,585,2013-09-01,8
AUCKLAND CITY,Newton,KINGS ARMS TAVERN,1883,2013-09-01,8
AUCKLAND CITY,Newton,LATESHIFT,1229,2013-09-01,8
AUCKLAND CITY,Newton,MERCURY BAR,790,2013-09-01,8
AUCKLAND CITY,Newton,THE NAVAL AND FAMILY BAR HOTEL,1990,2013-09-01,8
AUCKLAND CITY,Newton,SALUTE BAR & CLUB,1110,2013-09-01,8
AUCKLAND CITY,Newton,THE GOLDEN EAGLE LOUNGE,639,2013-09-01,8
AUCKLAND CITY,Auckland City,ALBION HOTEL,1535,2013-09-01,8
AUCKLAND CITY,Auckland City,FOX'S ALE-HOUSE,1374,2013-09-01,8
AUCKLAND CITY,Auckland City,JAX'S SPORTS BAR AND POOL HALL,2008,2013-09-01,8
AUCKLAND CITY,Auckland City,KANG NAM STATION,1818,2013-09-01,8
AUCKLAND CITY,Auckland City,MARITIME CLUB INC,464,2013-09-01,8
AUCKLAND CITY,Auckland City,QF TAVERN,131,2013-09-01,8
AUCKLAND CITY,Auckland City,RIGHT TRACK SPORTS CAFE,1086,2013-09-01,8
AUCKLAND CITY,Auckland City,ROSE & CROWN,123,2013-09-01,8
AUCKLAND CITY,Auckland City,SHAKESPEARE BREWERY & HOTEL,1273,2013-09-01,8
AUCKLAND CITY,Auckland City,SPUTNIK BAR,124,2013-09-01,8
AUCKLAND CITY,Auckland City,THE FAT CAMEL,1377,2013-09-01,8
AUCKLAND CITY,Auckland City,THE MUDDY FARMER TAVERN,1375,2013-09-01,8
AUCKLAND CITY,Auckland City,THE PLAYHOUSE,1962,2013-09-01,8
AUCKLAND CITY,Auckland City,WINNERS SPORTS TAVERN,624,2013-09-01,8
AUCKLAND CITY,Auckland City,HAVANA BAR,852,2013-09-01,8
AUCKLAND CITY,Otahuhu,AOTEA SPORTS BAR,1108,2013-09-01,8
AUCKLAND CITY,Otahuhu,GRACE'S PLACE TAB SPORTS BAR,1819,2013-09-01,8
AUCKLAND CITY,Otahuhu,MILESTONE BAR,1938,2013-09-01,8
AUCKLAND CITY,Otahuhu,MT RICHMOND MOTOR INN,789,2013-09-01,8
AUCKLAND CITY,Otahuhu,OPAL LOUNGE,804,2013-09-01,8
AUCKLAND CITY,Otahuhu,OTAHUHU RECREATIONAL & SPORTS SOCIETY INC,558,2013-09-01,8
AUCKLAND CITY,Otahuhu,OTAHUHU WORKINGMEN'S & COSMOPOLITAN CLUB,177,2013-09-01,8
AUCKLAND CITY,Otahuhu,PHOENIX TAVERN,1389,2013-09-01,8
AUCKLAND CITY,Otahuhu,STAR HOTEL,977,2013-09-01,8
AUCKLAND CITY,Otahuhu,STARS BAR,1192,2013-09-01,8
AUCKLAND CITY,Otahuhu,THE UPPER LOUNGE BAR,127,2013-09-01,8
AUCKLAND CITY,Onehunga,ARTHURS BAR & GRILL,1094,2013-09-01,8
AUCKLAND CITY,Onehunga,JELLICOE,1698,2013-09-01,8
AUCKLAND CITY,Onehunga,ONEHUNGA & DISTRICT RSA,712,2013-09-01,8
AUCKLAND CITY,Onehunga,ONEHUNGA BOWLING CLUB INC,100,2013-09-01,8
AUCKLAND CITY,Onehunga,ONEHUNGA RSA BOWLING CLUB,74,2013-09-01,8
AUCKLAND CITY,Onehunga,ONEHUNGA WORKINGMEN'S CLUB,463,2013-09-01,8
AUCKLAND CITY,Onehunga,THE LANDING SEAFOOD RESTAURANT & BAR,1790,2013-09-01,8
