VENUE_TYPE,
ASSOCIATION,
BAR,
BOWLING,CLUB
BREWERY,
CAFE,
CHARTERED,
CLUB,
COMMERCIAL,
COSMOPOLITAN,
EATERY,
GOLF,
GRAND,
HOTEL,
INN,
LOCAL,
LODGE,
MARINE,
MEMORIAL,
MOTOR,
OFFICE,
PARK,
PLACE,
POOL,
PUB,
RACE,
RAILWAY,
RESTAURANT,
ROOM,
RSA,
SEAFOOD,
SERVICES,
SPORTS,
TAB,
TAVERN,
TURF,
WMC,
WORKINGMEN'S,
