DISTRICT,AREA_CLUSTER_OF_AREAS,VENUE_NAME,VENUE_NUMBER,DATE,INDEX
ASHBURTON DISTRICT,Ashburton,ASHBURTON CLUB & MUTUAL SCHOOL OF ARTS INC,378,2011-12-01,31
ASHBURTON DISTRICT,Ashburton,ASHBURTON RSA,1180,2011-12-01,31
ASHBURTON DISTRICT,Ashburton,DEVON TAVERN,704,2011-12-01,31
ASHBURTON DISTRICT,Ashburton,HOTEL ASHBURTON,710,2011-12-01,31
ASHBURTON DISTRICT,Ashburton,TINWALD TAVERN,711,2011-12-01,31
ASHBURTON DISTRICT,Hinds/ Methven/ Rakaia,BLUE PUB,1136,2011-12-01,31
ASHBURTON DISTRICT,Hinds/ Methven/ Rakaia,HINDS TAVERN,701,2011-12-01,31
ASHBURTON DISTRICT,Hinds/ Methven/ Rakaia,SOUTH RAKAIA HOTEL,1696,2011-12-01,31
ASHBURTON DISTRICT,Hinds/ Methven/ Rakaia,THE BROWN PUB,966,2011-12-01,31
AUCKLAND CITY,Newton,CHARLIES BAR,1406,2011-12-01,31
AUCKLAND CITY,Newton,FAMILY,585,2011-12-01,31
AUCKLAND CITY,Newton,MERCURY BAR,790,2011-12-01,31
AUCKLAND CITY,Otahuhu,MILESTONE BAR,1938,2011-12-01,31
AUCKLAND CITY,Otahuhu,STAR HOTEL,977,2011-12-01,31
AUCKLAND CITY,Otahuhu,GEMINI BAR,1192,2011-12-01,31
AUCKLAND CITY,Onehunga,ARTHURS BAR & GRILL,1094,2011-12-01,31
AUCKLAND CITY,Onehunga,ONEHUNGA & DISTRICT RSA,712,2011-12-01,31
AUCKLAND CITY,Onehunga,ONEHUNGA WORKINGMEN'S CLUB,463,2011-12-01,31
AUCKLAND CITY,Onehunga,THE LANDING SEAFOOD RESTAURANT & BAR,1790,2011-12-01,31
AUCKLAND CITY,Onehunga,TRIDENT TAVERN,289,2011-12-01,31
AUCKLAND CITY,Epsom/ Mt Eden/ Parnell,THE AUCKLAND TROTTING CLUB,179,2011-12-01,31
AUCKLAND CITY,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,BLOCKHOUSE BAY BOWLING CLUB,731,2011-12-01,31
AUCKLAND CITY,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,HOPS N HOOVES,811,2011-12-01,31
AUCKLAND CITY,Point Chevalier,HARLEQUINS,581,2011-12-01,31
AUCKLAND CITY,Point Chevalier,POINT CHEVALIER BOWLING CLUB,1387,2011-12-01,31
AUCKLAND CITY,Point Chevalier,THE CROWN HOTEL,575,2011-12-01,31
AUCKLAND CITY,Balmoral/ Glen Innes/ Kingsland,JACKS,1391,2011-12-01,31
AUCKLAND CITY,Balmoral/ Glen Innes/ Kingsland,TAB GLEN INNES,902,2011-12-01,31
AUCKLAND CITY,Balmoral/ Glen Innes/ Kingsland,THE COURTYARD BAR,1847,2011-12-01,31
AUCKLAND CITY,Panmure,LANDMARK BAR & EATERY,345,2011-12-01,31
AUCKLAND CITY,Panmure,MT WELLINGTON BOWLING CLUB,539,2011-12-01,31
AUCKLAND CITY,Panmure,THE CORNER BAR,344,2011-12-01,31
AUCKLAND CITY,Avondale/ Grey Lynn/ Herne Bay,AVONDALE RETURNED SERVICES ASSOCIATION,362,2011-12-01,31
AUCKLAND CITY,Avondale/ Grey Lynn/ Herne Bay,GREY LYNN RETURNED SERVICES SOCIAL CLUB INCORPORATED,399,2011-12-01,31
AUCKLAND CITY,Avondale/ Grey Lynn/ Herne Bay,GREY LYNN TAVERN,795,2011-12-01,31
BULLER DISTRICT,Westport,BLACK AND WHITE HOTEL,1628,2011-12-01,31
BULLER DISTRICT,Westport,CLUB BULLER,359,2011-12-01,31
BULLER DISTRICT,Westport,COSMOPOLITAN HOTEL,270,2011-12-01,31
BULLER DISTRICT,Westport,CRITERION HOTEL (WESTPORT),10,2011-12-01,31
CENTRAL OTAGO DISTRICT,Alexandra,ALEXANDRA DISTRICT CLUB,68,2011-12-01,31
CENTRAL OTAGO DISTRICT,Alexandra,CRITERION CLUB HOTEL,1650,2011-12-01,31
CENTRAL OTAGO DISTRICT,Alexandra,STADIUM TAVERN,953,2011-12-01,31
CENTRAL OTAGO DISTRICT,Cromwell,CROMWELL BREW HOUSE,1420,2011-12-01,31
CENTRAL OTAGO DISTRICT,Cromwell,CROMWELL TOWN & COUNTRY CLUB,112,2011-12-01,31
CENTRAL OTAGO DISTRICT,Cromwell,VICTORIA ARMS HOTEL,1715,2011-12-01,31
CHATHAM ISLANDS DISTRICT,Chatham Islands,HOTEL CHATHAMS,33,2011-12-01,31
CLUTHA DISTRICT,Kaitangata/ Milton/ Owaka,CATLINS INN,879,2011-12-01,31
CLUTHA DISTRICT,Kaitangata/ Milton/ Owaka,WHITE HORSE INN,877,2011-12-01,31
CLUTHA DISTRICT,Clinton/ Heriot/ Lawrence/ Tapanui,FOREST LODGE HOTEL,887,2011-12-01,31
CLUTHA DISTRICT,Clinton/ Heriot/ Lawrence/ Tapanui,HERIOT HOTEL,1548,2011-12-01,31
CLUTHA DISTRICT,Clinton/ Heriot/ Lawrence/ Tapanui,OAK TREE INN,825,2011-12-01,31
CLUTHA DISTRICT,Clinton/ Heriot/ Lawrence/ Tapanui,COACHES & HORSES INN,881,2011-12-01,31
CLUTHA DISTRICT,Balclutha,HOTEL SOUTH OTAGO,889,2011-12-01,31
CLUTHA DISTRICT,Balclutha,ROSEBANK LODGE,865,2011-12-01,31
CLUTHA DISTRICT,Balclutha,SOUTH OTAGO TOWN AND COUNTRY CLUB,426,2011-12-01,31
DUNEDIN CITY,Concord/ Kew/ Mornington,CONCORD INN,848,2011-12-01,31
DUNEDIN CITY,Concord/ Kew/ Mornington,MORNINGTON TAVERN,1723,2011-12-01,31
DUNEDIN CITY,Concord/ Kew/ Mornington,WATERLOO HOTEL,1072,2011-12-01,31
DUNEDIN CITY,Mosgiel,CROFTERS ARMS HOTEL,818,2011-12-01,31
DUNEDIN CITY,Mosgiel,MOSGIEL TAVERN,1495,2011-12-01,31
DUNEDIN CITY,Mosgiel,NELLIES HOTEL,851,2011-12-01,31
DUNEDIN CITY,St Kilda,FORBURY SPORTS BAR & FUNCTION CENTRE,1533,2011-12-01,31
DUNEDIN CITY,St Kilda,OCEAN BEACH HOTEL,843,2011-12-01,31
FAR NORTH DISTRICT,Kaitaia,FAR NORTH (KAITAIA) RSA,914,2011-12-01,31
FAR NORTH DISTRICT,Kaitaia,MUSSEL ROCK,760,2011-12-01,31
FAR NORTH DISTRICT,Paihia,KLONDIKE ALE HOUSE,1676,2011-12-01,31
FAR NORTH DISTRICT,Paihia,PAIHIA EX-SERVICEMEN'S ASSOCIATION,936,2011-12-01,31
FAR NORTH DISTRICT,Kaikohe,THE BANK BAR,763,2011-12-01,31
FAR NORTH DISTRICT,Hukerenui/Kawakawa/ Moerewa/ Opua/ Russell,KLONDIKES SEAFOOD CAFE AND TAVERN,1531,2011-12-01,31
FAR NORTH DISTRICT,Hukerenui/Kawakawa/ Moerewa/ Opua/ Russell,KAWAKAWA AND DISTRICT RSA,694,2011-12-01,31
GISBORNE DISTRICT,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,GISBORNE COSMOPOLITAN CLUB INC,552,2011-12-01,31
GISBORNE DISTRICT,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,GISBORNE TATAPOURI SPORTS FISHING CLUB,82,2011-12-01,31
GISBORNE DISTRICT,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,RUATORIA HOTEL,1871,2011-12-01,31
GISBORNE DISTRICT,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,THE RIVERS,2000093,2011-12-01,31
GORE DISTRICT,Gore/ Mataura,CROYDON LODGE,2000258,2011-12-01,31
GORE DISTRICT,Gore/ Mataura,FALLS HOTEL,883,2011-12-01,31
GORE DISTRICT,Gore/ Mataura,GORE DISTRICT MEMORIAL RSA INC,1208,2011-12-01,31
GORE DISTRICT,Gore/ Mataura,GORE TOWN & COUNTRY CLUB,1178,2011-12-01,31
GORE DISTRICT,Gore/ Mataura,LONGFORD TAVERN,891,2011-12-01,31
GORE DISTRICT,Gore/ Mataura,MATAURA RSA,1215,2011-12-01,31
GORE DISTRICT,Gore/ Mataura,TRAFFERS INN,874,2011-12-01,31
HAMILTON CITY,Claudelands,5 CROSSROADS SPORTS BAR AND CAFE,633,2011-12-01,31
HAMILTON CITY,Claudelands,HAMILTON COSMOPOLITAN CLUB INCORPORATED,699,2011-12-01,31
HAMILTON CITY,Claudelands,HILLCREST TAVERN,834,2011-12-01,31
HAMILTON CITY,Frankton,ALEWAYS HOTEL,1350,2011-12-01,31
HAMILTON CITY,Hamilton Central,HAMILTON COMBINED RETURNED SERVICES CLUB INCORPORATED,109,2011-12-01,31
HAMILTON CITY,Hamilton Central,HAMILTON WORKINGMEN'S CLUB,84,2011-12-01,31
HAMILTON CITY,Hamilton Central,SMITH & MCKENZIE CHOPHOUSE,1425,2011-12-01,31
HAMILTON CITY,Hamilton Central,STILL WORKING,762,2011-12-01,31
HAMILTON CITY,Hamilton Central,TAB TE RAPA,2000239,2011-12-01,31
HAMILTON CITY,Hamilton Central,THE DINSDALE OFFICE,755,2011-12-01,31
HAMILTON CITY,Hamilton Central,THE RIV,1242,2011-12-01,31
HAMILTON CITY,Hamilton Central,WAIKATO COMMERCE CLUB,446,2011-12-01,31
HAMILTON CITY,Hamilton Central,BAR 101,1148,2011-12-01,31
HAMILTON CITY,Hamilton Central,THE QUADRANT,1915,2011-12-01,31
HAMILTON CITY,Dinsdale/ Hillcrest/ Pukete,DINSDALE TAVERN,1035,2011-12-01,31
HAMILTON CITY,Dinsdale/ Hillcrest/ Pukete,THE COCK AND BULL (HAMILTON),2000215,2011-12-01,31
HAMILTON CITY,Glenview/ hamilton East,EASTSIDE TAVERN,1092,2011-12-01,31
HAMILTON CITY,Glenview/ hamilton East,GLENVIEW CLUB,507,2011-12-01,31
HAMILTON CITY,Nawton/ Te Rapa,TE RAPA TAVERN,1902,2011-12-01,31
HAMILTON CITY,Nawton/ Te Rapa,YARDHOUSE,590,2011-12-01,31
HASTINGS DISTRICT,Hastings Central,MAGPIES,732,2011-12-01,31
HASTINGS DISTRICT,Hastings Central,NATIONAL SERVICE CLUB,444,2011-12-01,31
HASTINGS DISTRICT,Hastings Central,STORTFORD LODGE SOCIAL CLUB,676,2011-12-01,31
HASTINGS DISTRICT,Hastings Central,TAB STORTFORD LODGE,896,2011-12-01,31
HASTINGS DISTRICT,Hastings Central,THE ELBOWROOM SPORTS BAR,735,2011-12-01,31
HASTINGS DISTRICT,Hastings Central,ZABEELS SPORTS BAR,679,2011-12-01,31
HASTINGS DISTRICT,Clive/ Flaxmere East/ Havelock North,CLIVE HOTEL,733,2011-12-01,31
HASTINGS DISTRICT,Clive/ Flaxmere East/ Havelock North,FLAXMERE TAVERN,305,2011-12-01,31
HASTINGS DISTRICT,Clive/ Flaxmere East/ Havelock North,HAVELOCK NORTH CLUB,501,2011-12-01,31
HASTINGS DISTRICT,Clive/ Flaxmere East/ Havelock North,TURK'S BAR,737,2011-12-01,31
HOROWHENUA DISTRICT,Levin,FATBOYZ BAR COBB AND CO,395,2011-12-01,31
HOROWHENUA DISTRICT,Levin,LEVIN CLUB,659,2011-12-01,31
HOROWHENUA DISTRICT,Levin,LEVIN COSMOPOLITAN CLUB,439,2011-12-01,31
HOROWHENUA DISTRICT,Levin,LEVIN SPORTS BAR,1456,2011-12-01,31
HOROWHENUA DISTRICT,Levin,O'MALLEY'S BAR,1262,2011-12-01,31
HOROWHENUA DISTRICT,Foxton/Mangaore-Manakau/ Shannon,FOXTON RETURNED SERVICES ASSOCIATION,98,2011-12-01,31
INVERCARGILL CITY,Appleby/ Glengarry/ Strathern,GLENGARRY TAVERN AKA EASTERN SUBURBS TAVERN,1170,2011-12-01,31
INVERCARGILL CITY,Appleby/ Glengarry/ Strathern,NORTHERN TAVERN,527,2011-12-01,31
INVERCARGILL CITY,Appleby/ Glengarry/ Strathern,SOUTHLAND TAVERN,528,2011-12-01,31
INVERCARGILL CITY,Bluff/Clifton/ Newfield/ Richmond,CLIFTON CLUB INN,1167,2011-12-01,31
INVERCARGILL CITY,Bluff/Clifton/ Newfield/ Richmond,GLASINE CAFE,1329,2011-12-01,31
INVERCARGILL CITY,Bluff/Clifton/ Newfield/ Richmond,GOLDEN AGE TAVERN,1044,2011-12-01,31
INVERCARGILL CITY,Bluff/Clifton/ Newfield/ Richmond,NEWFIELD TAVERN,1168,2011-12-01,31
KAIPARA DISTRICT,Dargaville,NORTHERN WAIROA HOTEL,636,2011-12-01,31
KAIPARA DISTRICT,Dargaville,NORTHERN WAIROA RETURNED SERVICES ASSOCIATION,672,2011-12-01,31
KAPITI COAST DISTRICT,Paraparaumu,GOLDEN COAST CHARTERED CLUB,516,2011-12-01,31
KAPITI COAST DISTRICT,Paraparaumu,KAPITI CLUB,471,2011-12-01,31
KAPITI COAST DISTRICT,Paraparaumu,THE PINETREE ARMS,1457,2011-12-01,31
KAPITI COAST DISTRICT,Otaki,FAMILY HOTEL,1441,2011-12-01,31
KAPITI COAST DISTRICT,Otaki,OTAKI RSA CLUBROOMS,265,2011-12-01,31
KAPITI COAST DISTRICT,Otaki,PUNTERS CORNER SPORTS BAR AND TAB,1437,2011-12-01,31
KAPITI COAST DISTRICT,Otaki,THE RAILWAY HOTEL,907,2011-12-01,31
KAPITI COAST DISTRICT,Paekakariki/ Raumati/ Waikanae,FINNS PAEKAKARIKI,1907,2011-12-01,31
KAPITI COAST DISTRICT,Paekakariki/ Raumati/ Waikanae,WAIKANAE CHARTERED CLUB,235,2011-12-01,31
KAWERAU DISTRICT,Kawerau,CAYMAN SPORTS BAR,1046,2011-12-01,31
LOWER HUTT CITY,Lower Hutt Central,THE BIG CHILL,1761,2011-12-01,31
LOWER HUTT CITY,Petone,PETONE SPORTS BAR,1834,2011-12-01,31
LOWER HUTT CITY,Petone,PETONE WORKINGMENS CLUB,104,2011-12-01,31
LOWER HUTT CITY,Wainuiomata,EDDY'S BAR & CAFE,859,2011-12-01,31
LOWER HUTT CITY,Wainuiomata,TAB WAINUIOMATA,2000124,2011-12-01,31
LOWER HUTT CITY,Wainuiomata,WAINUIOMATA BOWLING CLUB,149,2011-12-01,31
MACKENZIE DISTRICT,Fairlie/ Lake Tekapo/ Twizel,COMBINED SERVICES CLUB,195,2011-12-01,31
MACKENZIE DISTRICT,Fairlie/ Lake Tekapo/ Twizel,FAIRLIE HOTEL,1625,2011-12-01,31
MACKENZIE DISTRICT,Fairlie/ Lake Tekapo/ Twizel,TOP HUT,1605,2011-12-01,31
MARLBOROUGH DISTRICT,Blenheim,CLUBS OF MARLBOROUGH,34,2011-12-01,31
MARLBOROUGH DISTRICT,Blenheim,CRITERION HOTEL (BLENHEIM),1572,2011-12-01,31
MARLBOROUGH DISTRICT,Blenheim,FAIRWEATHER ON SCOTT,2000240,2011-12-01,31
MARLBOROUGH DISTRICT,Blenheim,GROVE TAVERN,725,2011-12-01,31
MARLBOROUGH DISTRICT,Blenheim,REDWOOD TAVERN,60,2011-12-01,31
MARLBOROUGH DISTRICT,Blenheim,SPRINGLANDS TAVERN,1896,2011-12-01,31
MARLBOROUGH DISTRICT,Picton,THE CROW TAVERN,1626,2011-12-01,31
MARLBOROUGH DISTRICT,Havelock/ Renwick/ Seddon/ Spring Creek,HAVELOCK HOTEL,1549,2011-12-01,31
MARLBOROUGH DISTRICT,Havelock/ Renwick/ Seddon/ Spring Creek,TROUT HOTEL,1667,2011-12-01,31
MARLBOROUGH DISTRICT,Havelock/ Renwick/ Seddon/ Spring Creek,WOODBOURNE TAVERN,1859,2011-12-01,31
MASTERTON DISTRICT,Masterton,KURIPUNI TAVERN,304,2011-12-01,31
MASTERTON DISTRICT,Masterton,WAIRARAPA SERVICES & CITIZENS CLUB,324,2011-12-01,31
MATAMATA-PIAKO DISTRICT,Matamata,MATAMATA CLUB INCORPORATED,338,2011-12-01,31
MATAMATA-PIAKO DISTRICT,Matamata,TRAC SPORTS BAR,375,2011-12-01,31
MATAMATA-PIAKO DISTRICT,Morrinsville,MORRINSVILLE DISTRICT RSA,322,2011-12-01,31
MATAMATA-PIAKO DISTRICT,Morrinsville,NOTTINGHAM CASTLE HOTEL,1150,2011-12-01,31
MATAMATA-PIAKO DISTRICT,Morrinsville,TOP PUB,1118,2011-12-01,31
MATAMATA-PIAKO DISTRICT,Morrinsville,TOWN AND COUNTRY CLUB INCORPORATED,686,2011-12-01,31
MATAMATA-PIAKO DISTRICT,Tahuna/ Te Aroha/ Waihou-Walton,PALACE HOTEL,1876,2011-12-01,31
MATAMATA-PIAKO DISTRICT,Tahuna/ Te Aroha/ Waihou-Walton,TE AROHA MEMORIAL RSA,239,2011-12-01,31
MATAMATA-PIAKO DISTRICT,Tahuna/ Te Aroha/ Waihou-Walton,THE GRAND TAVERN,1488,2011-12-01,31
MATAMATA-PIAKO DISTRICT,Tahuna/ Te Aroha/ Waihou-Walton,WAIHOU TAVERN,984,2011-12-01,31
NAPIER CITY,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,MASONIC HOTEL,1885,2011-12-01,31
NAPIER CITY,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,MEEANEE HOTEL,1289,2011-12-01,31
NAPIER CITY,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,TARADALE CLUB,492,2011-12-01,31
NAPIER CITY,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,THE BAY VIEW,1663,2011-12-01,31
NAPIER CITY,Maraenui/ Onekawa/ Westshore,SIDELINE BAR,741,2011-12-01,31
NAPIER CITY,Taradale,TARADALE AND DISTRICT RSA,543,2011-12-01,31
NAPIER CITY,Taradale,TARADALE TAVERN,736,2011-12-01,31
NAPIER CITY,Taradale,THE DUKE OF GLOUCESTER,1620,2011-12-01,31
NAPIER CITY,Taradale,THE HORSE AND HARVEST FAMILY RESTAURANT AND ALE HOUSE,1538,2011-12-01,31
NAPIER CITY,Napier City/Marewa,NAPIER RSA,1784,2011-12-01,31
NAPIER CITY,Napier City/Marewa,THE WINDSOCK,1284,2011-12-01,31
NAPIER CITY,Napier City/Marewa,THE STATION,1875,2011-12-01,31
NELSON CITY,Nelson Central,623 IN THE CITY,358,2011-12-01,31
NELSON CITY,Nelson Central,OCEAN LODGE HOTEL,1056,2011-12-01,31
NELSON CITY,Nelson Central,POST BOY HOTEL,1123,2011-12-01,31
NELSON CITY,Nelson Central,WAKATU HOTEL,658,2011-12-01,31
NELSON CITY,Port Nelson/ Stoke/ Tahunanui/ The Wood,TURF HOTEL,1078,2011-12-01,31
NEW PLYMOUTH DISTRICT,New Plymouth Central,CINEMA EXPRESS CAFE AND BAR,1918,2011-12-01,31
NEW PLYMOUTH DISTRICT,New Plymouth Central,CROWDED HOUSE BAR & CAFE,970,2011-12-01,31
NEW PLYMOUTH DISTRICT,New Plymouth Central,ICON'S STADIUM BAR,1028,2011-12-01,31
NEW PLYMOUTH DISTRICT,New Plymouth Central,NAG N NOGGIN,972,2011-12-01,31
NEW PLYMOUTH DISTRICT,New Plymouth Central,NEW PLYMOUTH CLUB,267,2011-12-01,31
NEW PLYMOUTH DISTRICT,New Plymouth Central,PEGGY GORDONS,1254,2011-12-01,31
NEW PLYMOUTH DISTRICT,New Plymouth Central,STUMBLE INN & CAFE,1958,2011-12-01,31
NEW PLYMOUTH DISTRICT,New Plymouth Central,THE SALTY DOG CAFE & BAR,999,2011-12-01,31
NEW PLYMOUTH DISTRICT,Bell Block/ Fitzroy/ Urenui,SHIFTY'S SPORTS BAR & TAB,1114,2011-12-01,31
NEW PLYMOUTH DISTRICT,Bell Block/ Fitzroy/ Urenui,SPORTY'S CAFE/BAR,1767,2011-12-01,31
NEW PLYMOUTH DISTRICT,Bell Block/ Fitzroy/ Urenui,TAB FITZROY,2000123,2011-12-01,31
NEW PLYMOUTH DISTRICT,Bell Block/ Fitzroy/ Urenui,URENUI BAY HOTEL,2000145,2011-12-01,31
OPOTIKI DISTRICT,Opotiki/ Te Kaha,MASONIC HOTEL,1268,2011-12-01,31
OPOTIKI DISTRICT,Opotiki/ Te Kaha,SLIM'S BAR,942,2011-12-01,31
PORIRUA CITY,Cannon’s Creek/ Titihi Bay/  Waitangirua,THE MARINER,36,2011-12-01,31
PORIRUA CITY,Cannon’s Creek/ Titihi Bay/  Waitangirua,TITAHI BAY BOWLING CLUB,141,2011-12-01,31
QUEENSTOWN-LAKES DISTRICT,Wanaka,WANAKA BULLOCK BAR,1928,2011-12-01,31
QUEENSTOWN-LAKES DISTRICT,Arrowtown/ Frankton/Queenstown,FRANKTON ARM TAVERN,1315,2011-12-01,31
QUEENSTOWN-LAKES DISTRICT,Arrowtown/ Frankton/Queenstown,NEW ORLEANS HOTEL,1866,2011-12-01,31
QUEENSTOWN-LAKES DISTRICT,Arrowtown/ Frankton/Queenstown,PUB ON WHARF,2000259,2011-12-01,31
ROTORUA DISTRICT,Rotorua Central,HENNESSY'S IRISH BAR,1945,2011-12-01,31
ROTORUA DISTRICT,Rotorua Central,KASPERS SPORTS BAR,1514,2011-12-01,31
ROTORUA DISTRICT,Rotorua Central,MO'S BAR,1103,2011-12-01,31
ROTORUA DISTRICT,Rotorua Central,ROTORUA CITIZENS CLUB,340,2011-12-01,31
ROTORUA DISTRICT,Rotorua Central,RUCK N MAUL,643,2011-12-01,31
ROTORUA DISTRICT,Rotorua Central,THE FENTONS BAR,368,2011-12-01,31
ROTORUA DISTRICT,Rotorua Central,THE SIDEPOCKET BAR,374,2011-12-01,31
ROTORUA DISTRICT,Rotorua Central,VC'S TURF BAR,1898,2011-12-01,31
ROTORUA DISTRICT,Rotorua Central,WEST END TAVERN,1322,2011-12-01,31
ROTORUA DISTRICT,Fenton Park/ Mangakakahi/ Pukehangi,MITCHELL DOWNS TAVERN,1923,2011-12-01,31
ROTORUA DISTRICT,Fenton Park/ Mangakakahi/ Pukehangi,ROTORUA CLUB,2000287,2011-12-01,31
ROTORUA DISTRICT,Ngongotaha/ Selwyn Heights,VILLAGE SPORTS BAR/CAFE,1490,2011-12-01,31
ROTORUA DISTRICT,Hillcrest/ Reporoa/ Tihiotonga,ROTORUA COMMERCIAL TRAVELLERS ASSOCIATION INCORPORATED,264,2011-12-01,31
ROTORUA DISTRICT,Hillcrest/ Reporoa/ Tihiotonga,WOOLSHED TAVERN,1408,2011-12-01,31
RUAPEHU DISTRICT,Taumarunui Central,TAUMARUNUI COSMOPOLITAN CLUB,136,2011-12-01,31
RUAPEHU DISTRICT,Taumarunui Central,TAUMARUNUI RSA CLUB,261,2011-12-01,31
RUAPEHU DISTRICT,Ohakune/ Raetihi/ Waioru,OASIS HOTEL (WAIOURU),1608,2011-12-01,31
RUAPEHU DISTRICT,Ohakune/ Raetihi/ Waioru,OHAKUNE CLUB,365,2011-12-01,31
RUAPEHU DISTRICT,Ohakune/ Raetihi/ Waioru,RAETIHI COSMOPOLITAN CLUB INC,657,2011-12-01,31
SOUTH TARANAKI DISTRICT,Hawera/Patea/Waverley,CLARENDON HOTEL,1649,2011-12-01,31
SOUTH TARANAKI DISTRICT,Hawera/Patea/Waverley,SOUTH TARANAKI CLUB,325,2011-12-01,31
SOUTH TARANAKI DISTRICT,Hawera/Patea/Waverley,WHITE HART HOTEL (HAWERA),1008,2011-12-01,31
SOUTH TARANAKI DISTRICT,Eltham/Kaponga/Manaia/Opunake,CLUB HOTEL,1466,2011-12-01,31
SOUTH TARANAKI DISTRICT,Eltham/Kaponga/Manaia/Opunake,CORONATION HOTEL,1360,2011-12-01,31
SOUTH TARANAKI DISTRICT,Eltham/Kaponga/Manaia/Opunake,OPUNAKE SURF INN,1194,2011-12-01,31
SOUTH TARANAKI DISTRICT,Eltham/Kaponga/Manaia/Opunake,WAIMATE HOTEL MANAIA,1283,2011-12-01,31
SOUTH WAIKATO DISTRICT,Tokoroa,THE TREES TAVERN,1703,2011-12-01,31
SOUTH WAIKATO DISTRICT,Tokoroa,TOKOROA CLUB,284,2011-12-01,31
SOUTH WAIKATO DISTRICT,Tokoroa,TOKOROA COSMOPOLITAN CLUB,199,2011-12-01,31
SOUTH WAIKATO DISTRICT,Putaruru/ Tirau,HOG AND HOUNDS SPORTS BAR,1972,2011-12-01,31
SOUTH WAIKATO DISTRICT,Putaruru/ Tirau,THE CROWN & ANCHOR,2000158,2011-12-01,31
SOUTHLAND DISTRICT,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,PIONEER TAVERN,862,2011-12-01,31
SOUTHLAND DISTRICT,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,THREE RIVERS HOTEL,872,2011-12-01,31
SOUTHLAND DISTRICT,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,TOKANUI TAVERN,873,2011-12-01,31
SOUTHLAND DISTRICT,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,WALLACETOWN TAVERN,1004,2011-12-01,31
SOUTHLAND DISTRICT,Lumsden/ Manapouri/ Riversdale/ Tutapere,RIVERSDALE HOTEL,1237,2011-12-01,31
SOUTHLAND DISTRICT,Lumsden/ Manapouri/ Riversdale/ Tutapere,WAIAU HOTEL (TUATAPERE),1464,2011-12-01,31
SOUTHLAND DISTRICT,Lumsden/ Manapouri/ Riversdale/ Tutapere,WAIAU TOWN & COUNTRY CLUB,521,2011-12-01,31
SOUTHLAND DISTRICT,Te Anau,RANCH CAFE AND BAR,1251,2011-12-01,31
SOUTHLAND DISTRICT,Te Anau,TE ANAU CLUB,723,2011-12-01,31
SOUTHLAND DISTRICT,Te Anau,MOOSE TAVERN,1722,2011-12-01,31
TARARUA DISTRICT,Pahiatua,CLUB HOTEL,1363,2011-12-01,31
TARARUA DISTRICT,Pahiatua,TARARUA CLUB,356,2011-12-01,31
TASMAN DISTRICT,Brightwater/ Mapua/ Tapawera/ Wakefield,BRIGHTWATER MOTOR INN,1591,2011-12-01,31
TASMAN DISTRICT,Brightwater/ Mapua/ Tapawera/ Wakefield,TAPAWERA HOTEL,988,2011-12-01,31
TASMAN DISTRICT,Brightwater/ Mapua/ Tapawera/ Wakefield,WAKEFIELD HOTEL,1647,2011-12-01,31
TASMAN DISTRICT,Richmond,CLUB WAIMEA,215,2011-12-01,31
TASMAN DISTRICT,Richmond,THE STABLES,1407,2011-12-01,31
TASMAN DISTRICT,Richmond,STAR AND GARTER TAVERN,1593,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,CRUZAZ BAR CAFE,631,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,JUDEA TAVERN,1919,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,MARTY'S POOL BAR,674,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,MCSWIGGANS IRISH PUB,1677,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,RENNERS BAR,1455,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,ROSSCO'S CAFE AND BAR,1640,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,TAB CAMERON ROAD,2000238,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,TAURANGA CITIZENS CLUB,63,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,TAURANGA GAME FISHING CLUB (INC),137,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,TENPIN TAURANGA,606,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,WELCOME BAY SPORTS BAR,1975,2011-12-01,31
TAURANGA DISTRICT,Tauranga Central,WORLDS END,831,2011-12-01,31
TAURANGA DISTRICT,Mt Maunganui,CHEERS TAVERN,1643,2011-12-01,31
TAURANGA DISTRICT,Mt Maunganui,IMBIBE,2000255,2011-12-01,31
